"","item","regular_price","silver_price","gold_price","iridium_price","profession","category","sub_category","growth_time","general_store","jojamart","oasis_price"
"1","Amaranth",150,187,225,300,"none","crop","Fall Crop",7,70,87,NA
"2","Amaranth",165,205,247,330,"tiller","crop","Fall Crop",7,70,87,NA
"3","Ancient_Fruit",550,687,825,1100,"none","crop","Special Crop",28,NA,NA,NA
"4","Ancient_Fruit",605,755,907,1210,"tiller","crop","Special Crop",28,NA,NA,NA
"5","Apple",100,125,150,200,"none","crop","Special Crop",28,4000,NA,NA
"6","Apple",110,137,165,220,"tiller","crop","Special Crop",28,4000,NA,NA
"7","Apricot",50,62,75,100,"none","crop","Special Crop",28,2000,NA,NA
"8","Apricot",55,68,82,110,"tiller","crop","Special Crop",28,2000,NA,NA
"9","Artichoke",160,200,240,320,"none","crop","Fall Crop",8,30,NA,NA
"10","Artichoke",176,220,264,352,"tiller","crop","Fall Crop",8,30,NA,NA
"11","Banana",150,187,225,300,"none","crop","Special Crop",28,NA,NA,NA
"12","Banana",165,205,247,330,"tiller","crop","Special Crop",28,NA,NA,NA
"13","Beet",100,125,150,200,"none","crop","Fall Crop",6,NA,NA,20
"14","Beet",110,137,165,220,"tiller","crop","Fall Crop",6,NA,NA,20
"15","Blackberry",20,25,30,40,"none","crop","Special Crop",NA,NA,NA,NA
"16","Blue_Jazz",50,62,75,100,"none","crop","Spring Crop",7,30,37,NA
"17","Blue_Jazz",55,68,82,110,"tiller","crop","Spring Crop",7,30,37,NA
"18","Blueberry",50,62,75,100,"none","crop","Summer Crop",13,80,NA,NA
"19","Blueberry",55,68,82,110,"tiller","crop","Summer Crop",13,80,NA,NA
"20","Bok_Choy",80,100,120,160,"none","crop","Fall Crop",4,50,62,NA
"21","Bok_Choy",88,110,132,176,"tiller","crop","Fall Crop",4,50,62,NA
"22","Broccoli",70,87,105,140,"none","crop","Fall Crop",8,NA,NA,NA
"23","Broccoli",77,95,115,154,"tiller","crop","Fall Crop",8,NA,NA,NA
"24","Cactus_Fruit",75,93,112,150,"none","crop","Special Crop",12,NA,NA,150
"25","Cactus_Fruit",82,102,123,165,"none","crop","Special Crop",12,NA,NA,150
"26","Carrot",35,43,52,70,"none","crop","Spring Crop",3,NA,NA,NA
"27","Carrot",38,47,57,77,"tiller","crop","Spring Crop",3,NA,NA,NA
"28","Cauliflower",175,218,262,350,"none","crop","Spring Crop",12,80,100,NA
"29","Cauliflower",192,239,288,385,"tiller","crop","Spring Crop",12,80,100,NA
"30","Cherry",80,100,120,160,"none","crop","Special Crop",28,3400,NA,NA
"31","Cherry",88,110,132,176,"tiller","crop","Special Crop",28,3400,NA,NA
"32","Corn",50,62,75,100,"none","crop","Summer Crop",14,150,187,NA
"33","Corn",50,62,75,100,"none","crop","Fall Crop",14,150,187,NA
"34","Corn",55,68,82,110,"tiller","crop","Summer Crop",14,150,187,NA
