"","...1","item","regular_price","silver_price","gold_price","iridium_price","profession","category","sub_category","growth_time","general_store","jojamart","oasis_price"
"1",1,"Amaranth",150,187,225,300,NA,"crop","Fall Crop",7,70,87,NA
"2",2,"Amaranth",165,205,247,330,"tiller","crop","Fall Crop",7,70,87,NA
"3",3,"Ancient_Fruit",550,687,825,1100,NA,"crop","Special Crop",NA,NA,NA,NA
"4",4,"Ancient_Fruit",605,755,907,1210,"tiller","crop","Special Crop",NA,NA,NA,NA
"5",5,"Apple",100,125,150,200,NA,"crop",NA,28,4000,NA,NA
"6",6,"Apple",110,137,165,220,"tiller","crop",NA,28,4000,NA,NA
"7",7,"Apricot",50,62,75,100,NA,"crop",NA,28,2000,NA,NA
"8",8,"Apricot",55,68,82,110,"tiller","crop",NA,28,2000,NA,NA
"9",9,"Artichoke",160,200,240,320,NA,"crop","Fall Crop",8,30,NA,NA
"10",10,"Artichoke",176,220,264,352,"tiller","crop","Fall Crop",8,30,NA,NA
"11",11,"Banana",150,187,225,300,NA,"crop",NA,28,NA,NA,NA
"12",12,"Banana",165,205,247,330,"tiller","crop",NA,28,NA,NA,NA
"13",13,"Beet",100,125,150,200,NA,"crop","Fall Crop",6,NA,NA,20
"14",14,"Beet",110,137,165,220,"tiller","crop","Fall Crop",6,NA,NA,20
"15",15,"Blackberry",20,25,30,40,NA,"crop",NA,NA,NA,NA,NA
"16",16,"Blue_Jazz",50,62,75,100,NA,"crop","Spring Crop",7,30,37,NA
"17",17,"Blue_Jazz",55,68,82,110,"tiller","crop","Spring Crop",7,30,37,NA
"18",18,"Blueberry",50,62,75,100,NA,"crop","Summer Crop",13,80,NA,NA
"19",19,"Blueberry",55,68,82,110,"tiller","crop","Summer Crop",13,80,NA,NA
"20",20,"Bok_Choy",80,100,120,160,NA,"crop","Fall Crop",4,50,62,NA
"21",21,"Bok_Choy",88,110,132,176,"tiller","crop","Fall Crop",4,50,62,NA
"22",22,"Broccoli",70,87,105,140,NA,"crop","Fall Crop",8,NA,NA,NA
"23",23,"Broccoli",77,95,115,154,"tiller","crop","Fall Crop",8,NA,NA,NA
"24",24,"Cactus_Fruit",75,93,112,150,NA,"crop","Special Crop",12,NA,NA,150
"25",25,"Cactus_Fruit",82,102,123,165,NA,"crop","Special Crop",12,NA,NA,150
"26",26,"Carrot",35,43,52,70,NA,"crop","Spring Crop",3,NA,NA,NA
"27",27,"Carrot",38,47,57,77,"tiller","crop","Spring Crop",3,NA,NA,NA
"28",28,"Cauliflower",175,218,262,350,NA,"crop","Spring Crop",12,80,100,NA
"29",29,"Cauliflower",192,239,288,385,"tiller","crop","Spring Crop",12,80,100,NA
"30",30,"Cherry",80,100,120,160,NA,"crop",NA,28,3400,NA,NA
"31",31,"Cherry",88,110,132,176,"tiller","crop",NA,28,3400,NA,NA
"32",32,"Corn",50,62,75,100,NA,"crop","Summer Crop",14,150,187,NA
"33",33,"Corn",50,62,75,100,NA,"crop","Fall Crop",14,150,187,NA
"34",34,"Corn",55,68,82,110,"tiller","crop","Summer Crop",14,150,187,NA
"35",35,"Corn",55,68,82,110,"tiller","crop","Fall Crop",14,150,187,NA
"36",36,"Cranberries",75,93,112,150,NA,"crop","Fall Crop",NA,NA,NA,NA
"37",37,"Cranberries",82,102,123,165,"tiller","crop","Fall Crop",NA,NA,NA,NA
"38",38,"Crystal_Fruit",150,187,225,300,NA,"crop",NA,NA,NA,NA,NA
"39",39,"Eggplant",60,75,90,120,NA,"crop","Fall Crop",5,20,25,NA
"40",40,"Eggplant",66,82,99,132,"tiller","crop","Fall Crop",5,20,25,NA
"41",41,"Fairy_Rose",290,362,435,580,NA,"crop","Fall Crop",12,200,250,NA
"42",42,"Fairy_Rose",319,398,478,638,"tiller","crop","Fall Crop",12,200,250,NA
"43",43,"Fiddlehead_Fern",90,112,135,180,NA,"crop",NA,NA,NA,NA,NA
"44",44,"Fiddlehead_Fern",99,123,148,198,"tiller","crop",NA,NA,NA,NA,NA
"45",45,"Garlic",60,75,90,120,NA,"crop","Spring Crop",4,40,NA,NA
"46",46,"Garlic",66,82,99,132,"tiller","crop","Spring Crop",4,40,NA,NA
"47",47,"Grape",80,100,120,160,NA,"crop","Fall Crop",10,60,75,NA
"48",48,"Grape",88,110,132,176,NA,"crop","Fall Crop",10,60,75,NA
"49",49,"Green_Bean",40,50,60,80,NA,"crop","Spring Crop",10,60,75,NA
"50",50,"Green_Bean",44,55,66,88,"tiller","crop","Spring Crop",10,60,75,NA
"51",51,"Hops",25,31,37,50,NA,"crop","Summer Crop",11,60,75,NA
"52",52,"Hops",27,34,40,55,"tiller","crop","Summer Crop",11,60,75,NA
"53",53,"Hot_Pepper",40,50,60,80,NA,"crop","Summer Crop",NA,NA,NA,NA
"54",54,"Hot_Pepper",44,55,66,88,"tiller","crop","Summer Crop",NA,NA,NA,NA
"55",55,"Kale",110,137,165,220,NA,"crop","Spring Crop",6,70,87,NA
"56",56,"Kale",121,150,181,242,"tiller","crop","Spring Crop",6,70,87,NA
"57",57,"Mango",130,162,195,260,NA,"crop",NA,28,NA,NA,NA
"58",58,"Mango",143,178,214,286,"tiller","crop",NA,28,NA,NA,NA
"59",59,"Melon",250,312,375,500,NA,"crop","Summer Crop",12,80,100,NA
"60",60,"Melon",275,343,412,550,"tiller","crop","Summer Crop",12,80,100,NA
"61",61,"Orange",100,125,150,200,NA,"crop",NA,28,4000,NA,NA
"62",62,"Orange",110,137,165,220,"tiller","crop",NA,28,4000,NA,NA
"63",63,"Parsnip",35,43,52,70,NA,"crop","Spring Crop",4,20,25,NA
"64",64,"Parsnip",38,47,57,77,"tiller","crop","Spring Crop",4,20,25,NA
"65",65,"Peach",140,175,210,280,NA,"crop",NA,28,6000,NA,NA
"66",66,"Peach",154,192,231,308,"tiller","crop",NA,28,6000,NA,NA
"67",67,"Pineapple",300,375,450,600,NA,"crop","Special Crop",14,NA,NA,NA
"68",68,"Pineapple",330,412,495,660,"tiller","crop","Special Crop",14,NA,NA,NA
"69",69,"Pomegranate",140,175,210,280,NA,"crop",NA,28,6000,NA,NA
"70",70,"Pomegranate",154,192,231,308,"tiller","crop",NA,28,6000,NA,NA
"71",71,"Poppy",140,175,210,280,NA,"crop","Summer Crop",7,100,125,NA
"72",72,"Poppy",154,192,231,308,"tiller","crop","Summer Crop",7,100,125,NA
"73",73,"Potato",80,100,120,160,NA,"crop","Spring Crop",6,50,62,NA
"74",74,"Potato",88,110,132,176,"tiller","crop","Spring Crop",6,50,62,NA
"75",75,"Powdermelon",60,75,90,120,NA,"crop","Winter Crop",7,NA,NA,NA
"76",76,"Powdermelon",66,82,99,132,"tiller","crop","Winter Crop",7,NA,NA,NA
"77",77,"Pumpkin",320,400,480,640,NA,"crop","Fall Crop",13,100,125,NA
"78",78,"Pumpkin",352,440,528,704,"tiller","crop","Fall Crop",13,100,125,NA
"79",79,"Qi_Fruit",1,NA,NA,NA,NA,"crop","Special Crop",4,NA,NA,NA
"80",80,"Qi_Fruit",1,NA,NA,NA,NA,"crop","Special Crop",4,NA,NA,NA
"81",81,"Radish",90,112,135,180,NA,"crop","Summer Crop",6,40,50,NA
"82",82,"Radish",99,123,148,198,"tiller","crop","Summer Crop",6,40,50,NA
"83",83,"Red_Cabbage",260,325,390,520,NA,"crop","Summer Crop",9,100,NA,NA
"84",84,"Red_Cabbage",286,357,429,572,"tiller","crop","Summer Crop",9,100,NA,NA
"85",85,"Rhubarb",220,275,330,440,NA,"crop","Spring Crop",13,NA,NA,100
"86",86,"Rhubarb",242,302,363,484,"tiller","crop","Spring Crop",13,NA,NA,100
"87",87,"Spice_Berry",80,100,120,160,NA,"crop",NA,NA,NA,NA,NA
"88",88,"Starfruit",750,937,1125,1500,NA,"crop","Summer Crop",13,NA,NA,400
"89",89,"Starfruit",825,1030,1237,1650,"tiller","crop","Summer Crop",13,NA,NA,400
"90",90,"Strawberry",120,150,180,240,NA,"crop","Spring Crop",8,NA,NA,NA
"91",91,"Strawberry",132,165,198,264,"tiller","crop","Spring Crop",8,NA,NA,NA
"92",92,"Summer_Spangle",90,112,135,180,NA,"crop","Summer Crop",8,50,62,NA
"93",93,"Summer_Spangle",99,123,148,198,"tiller","crop","Summer Crop",8,50,62,NA
"94",94,"Summer_Squash",45,56,67,90,NA,"crop","Summer Crop",6,NA,NA,NA
"95",95,"Summer_Squash",49,61,73,99,"tiller","crop","Summer Crop",6,NA,NA,NA
"96",96,"Sunflower",80,100,120,160,NA,"crop","Summer Crop",8,200,125,NA
"97",97,"Sunflower",80,100,120,160,NA,"crop","Fall Crop",8,200,125,NA
"98",98,"Sunflower",88,110,132,176,"tiller","crop","Summer Crop",8,200,125,NA
"99",99,"Sunflower",88,110,132,176,"tiller","crop","Fall Crop",8,200,125,NA
"100",100,"Taro_Root",100,125,150,200,NA,"crop","Special Crop",10,NA,NA,NA
"101",101,"Taro_Root",110,137,165,220,"tiller","crop","Special Crop",10,NA,NA,NA
"102",102,"Tea_Leaves",50,NA,NA,NA,NA,"crop","Special Crop",20,NA,NA,NA
"103",103,"Tea_Leaves",55,NA,NA,NA,NA,"crop","Special Crop",20,NA,NA,NA
"104",104,"Tomato",60,75,90,120,NA,"crop","Summer Crop",11,50,62,NA
"105",105,"Tomato",66,82,99,132,"tiller","crop","Summer Crop",11,50,62,NA
"106",106,"Tulip",30,37,45,60,NA,"crop","Spring Crop",6,20,25,NA
"107",107,"Tulip",33,40,49,66,"tiller","crop","Spring Crop",6,20,25,NA
"108",108,"Unmilled_Rice",30,37,45,60,NA,"crop","Spring Crop",NA,NA,NA,NA
"109",109,"Unmilled_Rice",33,40,49,66,"tiller","crop","Spring Crop",NA,NA,NA,NA
"110",110,"Wheat",25,31,37,50,NA,"crop","Summer Crop",4,10,12,NA
"111",111,"Wheat",25,31,37,50,NA,"crop","Fall Crop",4,10,12,NA
"112",112,"Wheat",27,34,40,55,"tiller","crop","Summer Crop",4,10,12,NA
"113",113,"Wheat",27,34,40,55,"tiller","crop","Fall Crop",4,10,12,NA
"114",114,"Wild_Plum",80,100,120,160,NA,"crop",NA,NA,NA,NA,NA
"115",115,"Yam",160,200,240,320,NA,"crop","Fall Crop",10,60,75,NA
"116",116,"Yam",176,220,264,352,"tiller","crop","Fall Crop",10,60,75,NA
